"ANO","MES","DIA","HORA","6","7","8","9","10","12","14"
2011,1,5,14,0.4,51,58,NA,NA,137,15.48
2011,1,5,15,0.4,48,59,NA,NA,133,17.65
2011,1,5,16,0.3,37,56,NA,NA,113,17.51
2011,1,5,17,0.4,70,71,NA,NA,179,10.5
2011,1,5,18,0.5,78,74,NA,NA,193,8.87
2011,1,5,19,0.4,45,62,NA,NA,132,11.26
2011,1,5,20,0.4,52,63,NA,NA,143,9.51
2011,1,5,21,0.5,73,73,NA,NA,185,9.66
2011,1,5,22,0.7,127,89,NA,NA,284,8.05
2011,1,5,23,0.7,126,87,NA,NA,281,8.05
2011,1,5,24,0.5,101,78,NA,NA,233,8.12
2011,1,6,1,0.3,42,66,NA,NA,130,8.6
2011,1,6,2,0.3,35,60,NA,NA,114,10.25
2011,1,6,3,0.3,27,57,NA,NA,98,9.44
2011,1,6,4,0.4,21,49,NA,NA,81,13.56
2011,1,6,5,0.3,17,47,NA,NA,73,13.21
2011,1,6,6,0.3,24,53,NA,NA,89,11.17
2011,1,6,7,0.3,33,53,NA,NA,104,10.86
2011,1,6,8,0.3,32,51,NA,NA,101,12.97
2011,1,6,9,0.3,45,54,NA,NA,123,11
2011,1,6,10,0.3,67,63,NA,NA,166,5.55
2011,1,6,11,0.2,16,34,NA,NA,59,25.85
2011,1,6,12,0.2,11,25,NA,NA,41,34.62
2011,1,6,13,0.2,12,27,NA,NA,45,36.48
2011,1,6,14,0.3,11,28,NA,NA,45,38.14
2011,1,6,15,0.4,18,38,NA,NA,66,32.07
2011,1,6,16,0.3,29,43,NA,NA,88,33.59
2011,1,6,17,0.2,17,28,NA,NA,54,40.13
2011,1,6,18,0.3,14,31,NA,NA,51,37.67
2011,1,6,19,0.3,28,49,NA,NA,91,25.5
2011,1,6,20,0.3,38,59,NA,NA,118,15.25
2011,1,6,21,0.3,26,49,NA,NA,89,20.32
2011,1,6,22,0.3,29,49,NA,NA,94,18.89
2011,1,6,23,0.3,33,55,NA,NA,106,15.02
2011,1,6,24,0.3,29,55,NA,NA,99,16.79
2011,1,7,1,0.3,26,57,NA,NA,97,15.92
2011,1,7,2,0.2,7,27,NA,NA,37,32.86
2011,1,7,3,0.2,5,20,NA,NA,27,37.87
2011,1,7,4,0.2,5,16,NA,NA,25,40.43
2011,1,7,5,0.2,3,16,NA,NA,21,41.78
2011,1,7,6,0.2,8,28,NA,NA,39,32.96
2011,1,7,7,0.2,33,51,NA,NA,101,18.51
2011,1,7,8,0.4,61,69,NA,NA,162,11.55
2011,1,7,9,0.3,70,68,NA,NA,175,6.73
2011,1,7,10,0.4,71,73,NA,NA,182,12.87
2011,1,7,11,0.3,45,65,NA,NA,135,15.48
2011,1,7,12,0.3,45,63,NA,NA,132,18.41
2011,1,7,13,0.2,13,30,NA,NA,50,39.45
2011,1,7,14,0.3,18,36,NA,NA,64,37.35
2011,1,7,15,0.3,18,35,NA,NA,62,39.65
2011,1,7,16,0.3,14,33,NA,NA,55,42.2
2011,1,7,17,0.3,16,36,NA,NA,60,41.31
2011,1,7,18,0.3,19,53,NA,NA,82,31.93
2011,1,7,19,0.5,36,78,NA,NA,134,20.52
2011,1,7,20,0.4,38,79,NA,NA,137,19.28
2011,1,7,21,0.6,83,102,NA,NA,229,10.12
2011,1,7,22,0.4,53,92,NA,NA,173,10.76
2011,1,7,23,0.4,47,76,NA,NA,148,10.89
2011,1,7,24,0.3,32,62,NA,NA,112,15.69
2011,1,8,1,0.3,23,63,NA,NA,99,14.86
2011,1,8,2,0.3,13,44,NA,NA,64,28.44
2011,1,8,3,0.3,10,39,NA,NA,55,33.45
2011,1,8,4,0.2,9,43,NA,NA,57,31.19
2011,1,8,5,0.2,7,41,NA,NA,53,33.45
2011,1,8,6,0.2,10,49,NA,NA,63,28.55
2011,1,8,7,0.3,18,50,NA,NA,79,29.59
2011,1,8,8,0.2,19,52,NA,NA,81,12.66
2011,1,8,9,0.2,21,49,NA,NA,81,32.3
2011,1,8,10,0.3,31,54,NA,NA,101,29.96
2011,1,8,11,0.3,35,58,NA,NA,111,28.65
2011,1,8,12,0.3,31,51,NA,NA,99,29.07
2011,1,8,13,0.3,27,44,NA,NA,86,38.41
2011,1,8,14,0.3,25,43,NA,NA,82,41.82
2011,1,8,15,0.4,53,71,NA,NA,152,23.07
2011,1,8,16,0.3,17,46,NA,NA,73,39.19
2011,1,8,17,0.3,34,65,NA,NA,117,26.72
2011,1,8,18,0.4,32,72,NA,NA,121,21.69
2011,1,8,19,0.4,24,60,NA,NA,98,26.55
2011,1,8,20,0.3,41,72,NA,NA,135,18.02
2011,1,8,21,0.5,61,95,NA,NA,189,9.98
2011,1,8,22,0.4,73,93,NA,NA,206,9.96
2011,1,8,23,0.6,101,107,NA,NA,262,8.37
2011,1,8,24,0.5,64,82,NA,NA,179,15.24
2011,1,9,1,0.3,12,44,NA,NA,63,31.75
2011,1,9,2,0.3,11,48,NA,NA,65,32.57
2011,1,9,3,0.3,5,23,NA,NA,31,56.43
2011,1,9,4,0.2,10,36,NA,NA,51,45.01
2011,1,9,5,0.2,7,27,NA,NA,38,52.96
2011,1,9,6,0.2,4,18,NA,NA,23,60.75
2011,1,9,7,0.2,6,29,NA,NA,39,25.04
2011,1,9,8,0.3,22,51,NA,NA,85,32.66
2011,1,9,9,0.3,36,70,NA,NA,126,17.54
2011,1,9,10,0.3,36,59,NA,NA,115,26.3
2011,1,9,11,0.3,11,33,NA,NA,50,46.61
2011,1,9,12,0.3,23,41,NA,NA,77,44.78
2011,1,9,13,0.3,28,48,NA,NA,91,39.11
2011,1,9,14,0.3,20,42,NA,NA,72,45.3
2011,1,9,15,0.3,25,52,NA,NA,91,39.34
2011,1,9,16,0.3,12,42,NA,NA,61,43.41
2011,1,9,17,0.5,33,69,NA,NA,120,28.91
2011,1,9,18,0.5,56,86,NA,NA,172,17.64
2011,1,9,19,0.5,64,96,NA,NA,194,11.29
2011,1,9,20,0.6,91,104,NA,NA,243,8.03
2011,1,9,21,0.7,84,98,NA,NA,227,7.82
2011,1,9,22,0.6,71,95,NA,NA,204,7.96
2011,1,9,23,0.6,64,92,NA,NA,189,7.98
2011,1,9,24,0.5,26,76,NA,NA,116,10.7
2011,1,10,1,0.4,10,63,NA,NA,79,19.64
2011,1,10,2,0.3,7,44,NA,NA,54,29.41
2011,1,10,3,0.3,12,38,NA,NA,57,21.44
2011,1,10,4,0.2,6,25,NA,NA,33,35.02
2011,1,10,5,0.2,2,16,NA,NA,20,44.57
2011,1,10,6,0.3,6,23,NA,NA,32,16
2011,1,10,7,0.4,45,45,NA,NA,113,18.11
2011,1,10,8,0.7,143,71,NA,NA,290,7.13
2011,1,10,9,0.6,101,76,NA,NA,231,8.48
2011,1,10,10,0.5,69,74,NA,NA,179,12.38
2011,1,10,11,0.4,37,51,NA,NA,107,22.4
2011,1,10,12,0.4,34,44,NA,NA,96,26.79
2011,1,10,13,0.4,36,51,NA,NA,106,26.87
2011,1,10,14,0.3,33,45,NA,NA,96,29.74
2011,1,10,15,0.3,32,45,NA,NA,95,29.54
2011,1,10,16,0.4,31,44,NA,NA,92,28.37
2011,1,10,17,0.4,36,53,NA,NA,109,20.13
2011,1,10,18,0.3,40,56,NA,NA,118,22.82
2011,1,10,19,0.4,44,69,NA,NA,137,23.02
2011,1,10,20,0.4,39,68,NA,NA,128,20.29
2011,1,10,21,0.4,41,72,NA,NA,135,19.21
2011,1,10,22,0.4,34,63,NA,NA,115,24.36
2011,1,10,23,0.4,29,52,NA,NA,96,29.74
2011,1,10,24,0.3,18,37,NA,NA,65,35.5
2011,1,11,1,0.2,6,20,NA,NA,29,44.95
2011,1,11,2,0.2,6,15,NA,NA,23,48.82
2011,1,11,3,0.2,3,13,NA,NA,17,50.47
2011,1,11,4,0.2,7,12,NA,NA,23,53.38
2011,1,11,5,0.2,2,11,NA,NA,15,25.8
2011,1,11,6,0.2,4,15,NA,NA,21,46.64
2011,1,11,7,0.2,12,36,NA,NA,54,30.11
2011,1,11,8,0.4,20,54,NA,NA,84,19.03
2011,1,11,9,0.4,31,67,NA,NA,114,15.16
2011,1,11,10,0.4,41,68,NA,NA,130,25.28
2011,1,11,11,0.4,45,55,NA,NA,124,24.08
2011,1,11,12,0.3,26,48,NA,NA,88,35.97
2011,1,11,13,0.3,21,43,NA,NA,75,40.94
2011,1,11,14,0.3,19,38,NA,NA,68,46.34
2011,1,11,15,0.3,15,35,NA,NA,58,47.31
2011,1,11,16,0.3,15,38,NA,NA,61,43.89
2011,1,11,17,0.3,18,48,NA,NA,75,36.76
2011,1,11,18,0.4,26,70,NA,NA,110,20.4
2011,1,11,19,0.5,34,79,NA,NA,131,14.63
2011,1,11,20,0.5,45,85,NA,NA,155,10.02
2011,1,11,21,0.4,21,63,NA,NA,95,24.96
2011,1,11,22,0.5,23,69,NA,NA,105,19.9
2011,1,11,23,0.5,19,63,NA,NA,92,20.69
2011,1,11,24,0.3,7,39,NA,NA,50,36.59
2011,1,12,1,0.4,18,51,NA,NA,79,23.25
2011,1,12,2,0.4,41,62,NA,NA,125,9.94
2011,1,12,3,0.4,43,63,NA,NA,130,6.93
2011,1,12,4,0.4,64,61,NA,NA,159,2.48
2011,1,12,5,0.6,68,56,NA,NA,160,4.16
2011,1,12,6,0.5,69,54,NA,NA,159,4.48
2011,1,12,7,0.4,45,46,NA,NA,114,4.92
2011,1,12,8,0.9,170,84,NA,NA,345,4.95
2011,1,12,9,0.9,157,72,NA,NA,313,4.48
2011,1,12,10,1.1,214,92,NA,NA,420,4.73
2011,1,12,11,0.8,152,84,NA,NA,317,7.02
2011,1,12,12,1,234,117,NA,NA,476,6.76
2011,1,12,13,1,275,143,NA,NA,565,7.1
2011,1,12,14,0.6,118,99,NA,NA,279,12.86
2011,1,12,15,0.5,83,87,NA,NA,214,14.74
2011,1,12,16,0.5,71,88,NA,NA,197,14.54
2011,1,12,17,0.6,87,99,NA,NA,233,10.07
2011,1,12,18,1,208,133,NA,NA,453,5.12
2011,1,12,19,1.7,367,170,NA,NA,734,4.41
2011,1,12,20,2.6,510,205,NA,NA,987,4.68
2011,1,12,21,2.4,495,210,NA,NA,970,4.74
2011,1,12,22,1.4,270,148,NA,NA,563,4.56
2011,1,12,23,1.4,279,143,NA,NA,570,4.4
2011,1,12,24,1,180,103,NA,NA,378,4.26
2011,1,13,1,0.7,108,72,NA,NA,237,4.02
2011,1,13,2,0.7,127,68,NA,NA,263,3.75
2011,1,13,3,0.8,151,68,NA,NA,299,2.24
2011,1,13,4,0.6,99,57,NA,NA,210,4.42
2011,1,13,5,0.5,66,44,NA,NA,146,4.4
2011,1,13,6,0.6,89,46,NA,NA,183,4.38
2011,1,13,7,0.9,209,76,NA,NA,395,3.9
2011,1,13,8,1.4,281,99,NA,NA,530,3.76
2011,1,13,9,1.4,314,108,NA,NA,589,3.62
2011,1,13,10,1.3,285,110,NA,NA,547,4.16
2011,1,13,11,1.4,385,142,NA,NA,733,4.55
2011,1,13,12,0.9,244,110,NA,NA,484,5.65
2011,1,13,13,0.7,167,87,NA,NA,343,7.5
2011,1,13,14,0.5,132,81,NA,NA,283,8.87
2011,1,13,15,0.6,146,100,NA,NA,324,9.15
2011,1,13,16,0.7,144,108,NA,NA,328,8.9
2011,1,13,17,0.6,121,100,NA,NA,286,7.84
2011,1,13,18,0.7,147,110,NA,NA,335,5.47
2011,1,13,19,1,229,126,NA,NA,477,4.8
2011,1,13,20,1.9,450,191,NA,NA,881,4.77
2011,1,13,21,2.5,528,199,NA,NA,1008,4.91
2011,1,13,22,1.7,345,158,NA,NA,687,4.78
2011,1,13,23,1.3,260,123,NA,NA,523,4.41
2011,1,13,24,1,217,100,NA,NA,433,4.14
2011,1,14,1,0.9,160,82,NA,NA,327,4.15
2011,1,14,2,0.8,167,77,NA,NA,333,2.43
2011,1,14,3,0.8,152,63,NA,NA,297,4.46
2011,1,14,4,0.7,123,55,NA,NA,243,4.68
2011,1,14,5,0.6,97,49,NA,NA,197,4.61
2011,1,14,6,0.6,113,48,NA,NA,222,3.89
2011,1,14,7,0.9,151,63,NA,NA,294,3.55
2011,1,14,8,1.2,221,83,NA,NA,422,4.06
2011,1,14,9,1.3,284,105,NA,NA,541,4.71
2011,1,14,10,1.3,294,113,NA,NA,564,5.34
2011,1,14,11,1.2,273,115,NA,NA,533,5.28
2011,1,14,12,1.1,222,113,NA,NA,454,6.09
2011,1,14,13,0.9,206,117,NA,NA,433,7.07
2011,1,14,14,0.8,187,118,NA,NA,405,8.13
2011,1,14,15,0.6,96,93,NA,NA,241,12.33
2011,1,14,16,0.6,106,98,NA,NA,261,9.93
2011,1,14,17,0.4,49,74,NA,NA,149,16.31
2011,1,14,18,0.4,67,84,NA,NA,188,8.74
2011,1,14,19,1.4,239,136,NA,NA,502,4.42
2011,1,14,20,2.2,504,203,NA,NA,977,4.55
2011,1,14,21,2.3,512,211,NA,NA,996,4.45
2011,1,14,22,1.6,279,147,NA,NA,575,4.4
2011,1,14,23,1.5,241,127,NA,NA,496,4.23
2011,1,14,24,1,171,94,NA,NA,356,4.19
2011,1,15,1,0.9,169,90,NA,NA,349,2.35
2011,1,15,2,0.7,127,72,NA,NA,267,3.89
2011,1,15,3,0.7,132,69,NA,NA,272,4.35
2011,1,15,4,0.5,86,51,NA,NA,183,4.54
2011,1,15,5,0.6,99,56,NA,NA,208,4.24
2011,1,15,6,0.6,106,55,NA,NA,217,3.4
2011,1,15,7,0.7,132,64,NA,NA,267,3.72
2011,1,15,8,0.7,125,61,NA,NA,253,4.32
2011,1,15,9,0.7,129,64,NA,NA,261,4.97
2011,1,15,10,0.8,155,72,NA,NA,310,5.64
2011,1,15,11,1,198,92,NA,NA,395,6.13
2011,1,15,12,1,157,94,NA,NA,335,7.14
2011,1,15,13,0.8,105,88,NA,NA,248,10.99
2011,1,15,14,0.6,86,83,NA,NA,215,13.29
2011,1,15,15,0.5,63,74,NA,NA,170,18.49
2011,1,15,16,0.4,39,63,NA,NA,123,24.35
2011,1,15,17,0.3,27,55,NA,NA,96,28.66
2011,1,15,18,0.4,51,73,NA,NA,152,17.14
2011,1,15,19,1.4,289,143,NA,NA,586,4.2
2011,1,15,20,2,437,182,NA,NA,852,4.33
2011,1,15,21,2.2,462,194,NA,NA,902,4.3
2011,1,15,22,1.2,195,131,NA,NA,430,4.19
2011,1,15,23,1.1,175,118,NA,NA,386,3.91
2011,1,15,24,0.8,132,93,NA,NA,295,2.18
2011,1,16,1,0.9,156,98,NA,NA,337,3.93
2011,1,16,2,0.8,148,86,NA,NA,313,4.24
2011,1,16,3,0.7,136,78,NA,NA,286,4.48
2011,1,16,4,0.6,107,68,NA,NA,232,4.15
2011,1,16,5,0.7,109,62,NA,NA,229,3.44
2011,1,16,6,0.6,109,61,NA,NA,228,3.71
2011,1,16,7,0.6,91,55,NA,NA,195,4.6
2011,1,16,8,0.6,88,50,NA,NA,185,4.81
2011,1,16,9,0.7,106,55,NA,NA,217,4.98
2011,1,16,10,0.8,139,67,NA,NA,280,5.77
2011,1,16,11,0.9,128,69,NA,NA,265,6.99
2011,1,16,12,0.6,79,63,NA,NA,184,9.88
2011,1,16,13,0.4,38,47,NA,NA,106,20.92
2011,1,16,14,0.4,36,52,NA,NA,107,26.76
2011,1,16,15,0.4,30,50,NA,NA,96,29.99
2011,1,16,16,0.3,25,49,NA,NA,88,30.5
2011,1,16,17,0.3,15,40,NA,NA,63,41.54
2011,1,16,18,0.4,26,53,NA,NA,92,32.73
2011,1,16,19,1.1,127,111,NA,NA,305,6.49
2011,1,16,20,1.4,250,150,NA,NA,534,4.23
2011,1,16,21,1.4,300,157,NA,NA,617,4.36
2011,1,16,22,1.6,308,160,NA,NA,632,4.07
2011,1,16,23,1.1,186,120,NA,NA,406,2.22
2011,1,16,24,0.9,127,89,NA,NA,284,3.85
2011,1,17,1,0.7,100,75,NA,NA,228,4.12
2011,1,17,2,0.6,77,61,NA,NA,179,4.47
2011,1,17,3,0.4,46,49,NA,NA,120,4.32
2011,1,17,4,0.4,69,46,NA,NA,152,3.35
2011,1,17,5,0.5,50,56,NA,NA,132,3.65
2011,1,17,6,0.5,61,48,NA,NA,142,3.82
2011,1,17,7,0.5,60,59,NA,NA,151,3.91
2011,1,17,8,0.6,83,67,NA,NA,194,3.77
2011,1,17,9,0.6,114,74,NA,NA,249,4.12
2011,1,17,10,0.5,93,68,NA,NA,210,4.22
2011,1,17,11,0.5,92,67,NA,NA,208,4.42
2011,1,17,12,0.5,88,66,NA,NA,201,5.12
2011,1,17,13,0.6,102,77,NA,NA,233,5.7
2011,1,17,14,0.7,106,84,NA,NA,246,6.89
2011,1,17,15,0.7,128,93,NA,NA,290,6.7
2011,1,17,16,0.8,149,104,NA,NA,331,5.24
2011,1,17,17,0.8,161,116,NA,NA,363,5.31
2011,1,17,18,0.9,187,121,NA,NA,408,4.34
2011,1,17,19,0.9,202,120,NA,NA,431,3.88
2011,1,17,20,0.9,182,119,NA,NA,398,3.64
2011,1,17,21,0.9,196,123,NA,NA,423,3.86
2011,1,17,22,1,210,127,NA,NA,449,2.46
2011,1,17,23,1,216,130,NA,NA,461,4.46
2011,1,17,24,0.9,201,126,NA,NA,434,4.62
2011,1,18,1,0.9,185,120,NA,NA,404,4.66
2011,1,18,2,1,200,123,NA,NA,430,4.94
2011,1,18,3,1,213,125,NA,NA,452,5.08
2011,1,18,4,1.1,224,125,NA,NA,468,5.35
2011,1,18,5,1,203,115,NA,NA,426,5.21
2011,1,18,6,0.9,146,91,NA,NA,315,5.09
2011,1,18,7,0.6,79,63,NA,NA,184,5
2011,1,18,8,0.7,113,71,NA,NA,245,4.69
2011,1,18,9,0.9,137,78,NA,NA,288,4.9
2011,1,18,10,0.9,147,79,NA,NA,305,4.87
2011,1,18,11,1,185,97,NA,NA,381,5.7
2011,1,18,12,0.9,187,107,NA,NA,394,6.74
2011,1,18,13,0.9,207,115,NA,NA,432,5.85
2011,1,18,14,0.6,124,85,NA,NA,276,7.71
2011,1,18,15,0.6,108,87,NA,NA,252,7.73
2011,1,18,16,0.6,102,92,NA,NA,248,7.04
2011,1,18,17,0.6,112,99,NA,NA,270,5.45
2011,1,18,18,0.7,128,109,NA,NA,305,4.29
2011,1,18,19,1,241,139,NA,NA,508,3.42
2011,1,18,20,1.9,375,175,NA,NA,750,3.43
2011,1,18,21,1.8,348,162,NA,NA,696,2.17
2011,1,18,22,1.8,375,182,NA,NA,756,3.46
2011,1,18,23,1.3,269,147,NA,NA,559,3.45
2011,1,18,24,1.3,253,120,NA,NA,509,3.75
2011,1,19,1,1.1,232,106,NA,NA,463,4.24
2011,1,19,2,0.6,93,63,NA,NA,206,4.39
2011,1,19,3,0.9,141,65,NA,NA,281,4.29
2011,1,19,4,0.9,251,86,NA,NA,470,3.36
2011,1,19,5,0.8,245,86,NA,NA,461,4.21
2011,1,19,6,0.6,134,65,NA,NA,270,5.03
2011,1,19,7,0.8,153,71,NA,NA,305,5.24
2011,1,19,8,1.2,225,97,NA,NA,443,5.14
2011,1,19,9,1.3,275,103,NA,NA,524,5
2011,1,19,10,0.9,218,114,NA,NA,448,5.38
2011,1,19,11,0.5,100,80,NA,NA,233,6.36
2011,1,19,12,0.5,73,68,NA,NA,179,7.21
2011,1,19,13,0.5,69,69,NA,NA,175,10.43
2011,1,19,14,0.5,80,76,NA,NA,199,10.01
2011,1,19,15,0.5,89,86,NA,NA,221,9.45
2011,1,19,16,0.7,110,100,NA,NA,269,7.41
2011,1,19,17,0.7,116,109,NA,NA,287,6.21
2011,1,19,18,0.8,178,126,NA,NA,398,4.1
2011,1,19,19,0.8,165,118,NA,NA,372,3.51
2011,1,19,20,0.9,145,106,NA,NA,329,2.12
2011,1,19,21,1.3,229,129,NA,NA,480,3.58
2011,1,19,22,1.2,216,130,NA,NA,461,3.87
2011,1,19,23,1.2,207,126,NA,NA,444,4.08
2011,1,19,24,1.3,260,125,NA,NA,523,4.47
2011,1,20,1,1.2,272,127,NA,NA,544,4.76
2011,1,20,2,0.7,129,91,NA,NA,289,4.57
2011,1,20,3,0.7,112,76,NA,NA,248,4.56
2011,1,20,4,0.6,90,62,NA,NA,199,4.72
2011,1,20,5,0.5,70,53,NA,NA,161,4.73
2011,1,20,6,0.5,63,56,NA,NA,153,4.49
2011,1,20,7,0.5,76,66,NA,NA,182,4.3
2011,1,20,8,0.7,132,79,NA,NA,282,4.38
2011,1,20,9,1.4,269,107,NA,NA,519,3.84
2011,1,20,10,1.3,342,138,NA,NA,662,4.6
2011,1,20,11,0.7,145,91,NA,NA,314,5.26
2011,1,20,12,0.8,155,101,NA,NA,339,5.45
2011,1,20,13,0.6,109,81,NA,NA,247,8
2011,1,20,14,0.5,74,74,NA,NA,188,10.99
2011,1,20,15,0.4,53,67,NA,NA,148,18.14
2011,1,20,16,0.4,41,71,NA,NA,135,24.39
2011,1,20,17,0.4,49,76,NA,NA,151,22.51
2011,1,20,18,0.5,60,85,NA,NA,177,14.73
2011,1,20,19,0.8,157,126,NA,NA,367,2.14
2011,1,20,20,1.8,370,185,NA,NA,752,3.49
2011,1,20,21,0.7,84,117,NA,NA,246,7.86
2011,1,20,22,0.5,50,89,NA,NA,166,17.03
2011,1,20,23,0.4,27,65,NA,NA,107,25.77
2011,1,20,24,0.4,26,62,NA,NA,102,27.79
2011,1,21,1,0.3,25,55,NA,NA,93,33.34
2011,1,21,2,0.3,11,47,NA,NA,64,36.93
