length,kbytes,curlybrackets,roundbrackets,colon,semicolon,comma,other,lines,words,lower,upper,digit,relat,space,ext
11,1017,0,58.0,9.0,19.0,18.0,200.0,33.0,151.0,505.0,0.0,46.0,0.0,129.0,ipynb
6,1677,0,74.0,14.0,26.0,26.0,287.0,77.0,242.0,851.0,25.0,69.0,0.0,228.0,ipynb
10,5074,0,34.0,61.0,50.0,29.0,424.0,116.0,596.0,3501.0,102.0,144.0,214.0,515.0,ipynb
14,7391,2,38.0,48.0,41.0,79.0,1221.0,204.0,970.0,4000.0,142.0,250.0,373.0,1197.0,ipynb
14,5180,0,44.0,71.0,42.0,70.0,1106.0,158.0,606.0,2618.0,141.0,214.0,338.0,536.0,ipynb
10,61886,30,640.0,515.0,478.0,710.0,8233.0,1816.0,7703.0,35442.0,2320.0,2187.0,3827.0,7504.0,ipynb
13,3447,2,110.0,29.0,0.0,141.0,431.0,114.0,258.0,1709.0,109.0,43.0,0.0,873.0,ipynb
13,2275,0,23.0,12.0,22.0,52.0,251.0,63.0,310.0,1342.0,32.0,116.0,6.0,356.0,ipynb
7,515,0,30.0,3.0,8.0,9.0,91.0,23.0,80.0,230.0,14.0,18.0,0.0,90.0,ipynb
10,278,0,8.0,2.0,8.0,1.0,63.0,12.0,37.0,133.0,5.0,17.0,3.0,27.0,ipynb
9,1246,0,68.0,6.0,14.0,10.0,219.0,55.0,198.0,468.0,61.0,43.0,4.0,299.0,ipynb
7,1108,0,54.0,7.0,17.0,7.0,179.0,61.0,150.0,560.0,46.0,46.0,7.0,124.0,ipynb
6,1699,0,44.0,13.0,23.0,51.0,275.0,76.0,229.0,511.0,140.0,85.0,2.0,480.0,ipynb
8,4041,82,0.0,78.0,0.0,93.0,621.0,171.0,484.0,2246.0,70.0,26.0,2.0,823.0,ipynb
8,25522,452,150.0,573.0,19.0,669.0,4494.0,1189.0,2900.0,12236.0,240.0,535.0,5.0,6149.0,ipynb
13,25578,176,168.0,250.0,324.0,383.0,4328.0,473.0,1577.0,10675.0,277.0,4961.0,16.0,4020.0,ipynb
12,44912,972,432.0,1041.0,1.0,1581.0,8033.0,2225.0,5427.0,20517.0,342.0,883.0,12.0,11098.0,ipynb
8,47177,94,261.0,153.0,3.0,594.0,4909.0,538.0,1549.0,18339.0,12200.0,6171.0,34.0,4419.0,ipynb
17,34238,70,220.0,125.0,3.0,537.0,5042.0,453.0,1230.0,13657.0,7270.0,3710.0,8.0,3596.0,ipynb
20,15727,36,48.0,58.0,3.0,1132.0,3351.0,656.0,1440.0,2335.0,216.0,3109.0,0.0,5439.0,ipynb
18,62499,74,744.0,237.0,3.0,2604.0,13253.0,822.0,2949.0,14236.0,4804.0,16656.0,4.0,9884.0,ipynb
12,14671,200,170.0,243.0,4.0,650.0,2813.0,669.0,1680.0,5665.0,330.0,605.0,1.0,3990.0,ipynb
14,41691,194,284.0,275.0,5.0,827.0,7137.0,799.0,2562.0,13151.0,3973.0,5234.0,12.0,10599.0,ipynb
18,23190,96,216.0,169.0,174.0,638.0,4927.0,406.0,1382.0,9583.0,477.0,3742.0,21.0,3147.0,ipynb
16,2048,32,26.0,42.0,0.0,77.0,386.0,92.0,238.0,956.0,30.0,62.0,0.0,437.0,ipynb
19,47177,94,261.0,153.0,3.0,594.0,4909.0,538.0,1549.0,18339.0,12200.0,6171.0,34.0,4419.0,ipynb
18,9782,144,86.0,196.0,0.0,339.0,1892.0,436.0,1218.0,4488.0,163.0,137.0,0.0,2337.0,ipynb
22,10201,134,98.0,186.0,0.0,363.0,1989.0,438.0,1261.0,4690.0,199.0,152.0,0.0,2390.0,ipynb
26,10375,134,112.0,187.0,2.0,384.0,2041.0,455.0,1281.0,4680.0,167.0,188.0,1.0,2479.0,ipynb
23,9889,150,90.0,203.0,0.0,347.0,1925.0,439.0,1227.0,4568.0,163.0,128.0,0.0,2315.0,ipynb
28,8965,116,86.0,151.0,0.0,300.0,1616.0,344.0,1170.0,4434.0,192.0,106.0,0.0,1964.0,ipynb
27,9798,136,108.0,192.0,1.0,357.0,1926.0,423.0,1208.0,4456.0,164.0,175.0,0.0,2283.0,ipynb
31,9593,142,84.0,190.0,0.0,331.0,1864.0,418.0,1202.0,4423.0,160.0,143.0,0.0,2256.0,ipynb
15,25655,88,60.0,122.0,8.0,289.0,2237.0,293.0,1170.0,11616.0,6291.0,2924.0,8.0,2012.0,ipynb
15,7281,0,90.0,41.0,0.0,110.0,778.0,186.0,1005.0,4205.0,274.0,466.0,1.0,1316.0,ipynb
35,24846,90,102.0,136.0,1.0,328.0,2118.0,330.0,1323.0,11135.0,5778.0,2702.0,4.0,2452.0,ipynb
19,24926,90,118.0,136.0,0.0,334.0,2131.0,339.0,1274.0,11176.0,5767.0,2696.0,4.0,2474.0,ipynb
22,26780,92,130.0,148.0,0.0,380.0,2438.0,381.0,1511.0,12260.0,5785.0,2720.0,12.0,2815.0,ipynb
35,25807,98,110.0,153.0,0.0,359.0,2292.0,361.0,1361.0,11315.0,6077.0,2745.0,5.0,2653.0,ipynb
15,26444,96,114.0,159.0,0.0,370.0,2220.0,360.0,1378.0,11645.0,6216.0,2861.0,5.0,2758.0,ipynb
28,25534,94,88.0,142.0,0.0,339.0,2201.0,344.0,1407.0,11287.0,6062.0,2732.0,6.0,2583.0,ipynb
23,24920,90,88.0,138.0,0.0,328.0,2141.0,334.0,1297.0,11167.0,5785.0,2706.0,6.0,2471.0,ipynb
