tconst,primaryTitle,startYear,runtimeMinutes,genres
tt10077458,My Upside Down World,2021,70,"Biography,Documentary,Sport"
tt10078886,Washington's Armor,2022,,"Action,Drama,History"
tt10078904,Apex Predators,2021,75,Horror
tt10079796,The Wasteland of Education,2021,120,"Drama,Music"
tt10080086,August Never Ends,2021,95,"Drama,Romance"
tt10080198,A Lion's Game,2023,88,Crime
tt10080926,Efeito Placebo,2021,,"Horror,Thriller"
tt10083174,The Stairs,2021,92,"Horror,Mystery"
tt10083340,Gangubai Kathiawadi,2022,152,"Biography,Crime,Drama"
tt10083640,Bhoot Police,2021,129,"Comedy,Horror"
tt10084408,The Polar Story,2023,88,Drama
tt10087728,Phalana Abbayi Phalana Ammayi,2023,126,"Drama,Family,Romance"
tt10088984,Between Two Worlds,2021,106,Drama
tt10090058,Satria Dewa: Gatotkaca,2022,129,"Action,Adventure,Drama"
tt10090114,The Naked Ghost,2021,96,Horror
tt10092362,Pastor's Wife,2022,,Drama
tt10092698,All Fun and Games,2023,,"Horror,Thriller"
tt10095328,The Undertaker's Wife,2021,,Thriller
tt10095582,The Tragedy of Macbeth,2021,105,"Drama,Mystery,Thriller"
tt10096236,Ink & Linda,2022,,Documentary
tt10096842,False Positive,2021,92,"Horror,Mystery,Thriller"
tt10097312,Manchurian Tiger,2021,118,"Comedy,Drama"
tt10097362,The Exorcism of Carmen Farias,2021,93,Horror
tt10097384,Home Sweet Home,2021,110,"Drama,Mystery,Thriller"
tt10098288,Roohi,2021,134,"Comedy,Horror"
tt10098340,Así era,2022,,Documentary
tt10098448,Jesus Revolution,2023,120,Drama
tt10098452,Animals,2021,91,"Crime,Drama"
tt10101702,My Little Pony: A New Generation,2021,90,"Adventure,Animation,Comedy"
tt10102080,Range Roads,2021,86,Drama
tt10106394,Forest for the Trees,2021,91,"Biography,Documentary"
tt10107092,Juan,2021,,Documentary
tt10108062,Lavinya,2021,100,"Drama,Thriller"
tt10108708,Zinga,2022,,"Adventure,Fantasy,Sci-Fi"
tt10110572,Incognito,2023,,"Action,Horror,Romance"
tt10111198,Happy Thanksgiving,2021,,Comedy
tt10115874,The Diary: An Untold Story,2021,,"Drama,Mystery,Romance"
